siteid size segmentid n k a cost maxdate mindate days
800854 728x90 1183 1914958 1422 70 895.20 2011-11-28 2011-03-27 246
743812 728x90 79 1907071 5095 21 4779.34 2011-10-06 2011-03-09 211
796224 728x90 1183 1904133 55 1 121.48 2011-11-28 2011-03-14 259
760446 728x90 1183 1895854 101 1 133.38 2011-11-23 2011-03-01 267
799278 728x90 1183 1895724 910 4 416.27 2011-11-28 2011-03-08 265
773584 120x600 1183 1890616 294 0 371.63 2011-11-28 2011-03-02 271
808171 300x250 1183 1890379 670 10 1463.21 2011-08-15 2011-07-13 33
799261 300x250 1183 1888717 352 2 682.89 2011-11-28 2011-03-06 267
804631 468x60 1183 1886009 377 2 632.47 2011-11-28 2011-05-28 184
787698 728x90 66 1870902 355 4 690.99 2011-11-28 2011-05-18 194
763924 300x250 69 1855489 2024 6 478.16 2011-09-25 2011-03-01 208
708688 180x150 78 1852807 24 0 66.59 2011-11-20 2011-03-02 263
767261 728x90 66 1836520 452 9 1086.85 2011-11-28 2011-03-01 272
