siteid	size	segmentid	n	k	a	cost	maxdate	mindate	days
783364	728x90	1183	5604	0	0	1.55	2011-06-22	2011-03-02	112
800017	160x600	1183	5167	2	0	1.56	2011-12-08	2011-03-15	268
771170	300x250	87	1556	3	0	1.56	2011-03-12	2011-03-01	11
781360	300x250	87	3182	0	0	1.56	2011-12-11	2011-03-02	284
783106	728x90	87	1919	1	0	1.57	2011-12-11	2011-07-13	151
717825	160x600	-20	154126	20	0	1.57	2011-08-05	2011-08-05	0
818173	728x90	1183	157228	75	0	1.57	2011-12-06	2011-12-05	1
746396	728x90	1	6736	1	0	1.57	2011-08-10	2011-03-10	153
802546	300x250	1183	4571	3	0	1.57	2011-12-10	2011-07-13	150
783557	160x600	87	6094	0	0	1.57	2011-05-17	2011-03-01	77
722925	300x250	1183	586	1	0	1.58	2011-11-15	2011-03-03	257
768439	300x250	1183	3580	0	0	1.58	2011-11-16	2011-03-14	247
735539	160x600	1	1927	2	0	1.58	2011-07-31	2011-03-01	152
769582	728x90	87	2835	0	0	1.58	2011-04-22	2011-03-03	50
779732	728x90	1183	9017	3	0	1.58	2011-12-11	2011-03-01	285
774840	300x250	87	1577	1	0	1.59	2011-12-10	2011-07-13	150
800717	728x90	87	4392	1	0	1.60	2011-12-11	2011-03-27	259
804718	160x600	1183	1124	0	0	1.60	2011-12-11	2011-07-13	151
798393	728x90	1183	1048	0	0	1.60	2011-07-11	2011-03-01	132
807793	300x250	1183	6157	2	0	1.60	2011-10-30	2011-07-17	105
761924	300x250	1183	14134	2	0	1.60	2011-12-11	2011-03-01	285
790934	728x90	1183	2094	4	0	1.60	2011-06-23	2011-03-01	114
802369	728x90	1183	3316	1	0	1.61	2011-12-11	2011-07-13	151
770372	728x90	1183	19920	10	0	1.62	2011-09-27	2011-03-12	199
729794	160x600	1	12478	0	0	1.63	2011-05-05	2011-03-01	65
770307	728x90	1236	3010	0	0	1.63	2011-12-11	2011-03-09	277
785364	300x250	1183	11515	0	0	1.63	2011-06-27	2011-03-03	116
803975	160x600	87	5013	5	0	1.63	2011-12-10	2011-07-13	150
747024	300x250	1183	2862	1	0	1.64	2011-12-07	2011-07-13	147
793089	728x90	87	1597	1	0	1.64	2011-05-24	2011-03-24	61
781074	728x90	87	2109	0	0	1.64	2011-12-11	2011-07-13	151
780695	300x250	1183	192969	9	0	1.64	2011-08-29	2011-03-01	181
780602	300x250	87	960	1	0	1.65	2011-10-12	2011-07-13	91
806255	300x250	1183	7486	10	0	1.65	2011-09-27	2011-07-13	76
770482	300x250	87	2457	2	0	1.65	2011-08-13	2011-03-11	155
757697	728x90	1	13758	0	0	1.65	2011-06-15	2011-03-18	89
775517	728x90	79	2368	2	0	1.65	2011-09-27	2011-03-01	210
