siteid	size	segmentid	n	k	a	cost	max(date)	min(date)	days
757501	728x90	1236	158	1	0	0.08	2011-04-22	2011-03-11	42
766098	728x90	1183	158	0	0	0.06	2011-04-18	2011-03-01	48
795885	728x90	1183	159	0	0	0.05	2011-07-16	2011-03-09	129
774912	300x250	1183	159	0	0	0.04	2011-04-15	2011-03-20	26
753543	160x600	82	159	0	0	0.02	2011-12-30	2011-07-14	169
757249	300x250	85	159	1	0	0.17	2012-01-18	2011-07-13	189
777612	300x250	1183	160	0	0	0.07	2011-09-30	2011-03-27	187
770481	728x90	87	161	0	0	0.07	2011-08-18	2011-07-13	36
723173	300x250	1	162	0	0	0.17	2011-12-13	2011-12-12	1
790710	300x250	1183	163	2	0	0.22	2011-03-13	2011-03-09	4
755075	300x250	1	164	0	0	0.03	2011-10-11	2011-03-13	212
799963	300x250	1236	164	0	0	0.24	2011-12-19	2011-07-13	159
796604	160x600	1183	164	0	0	0.04	2012-01-03	2011-07-15	172
708045	728x90	87	165	0	0	0.07	2011-03-16	2011-03-09	7
801368	300x250	1183	165	0	0	0.05	2011-12-15	2011-07-13	155
764068	728x90	87	165	0	0	0.06	2011-03-25	2011-03-09	16
797255	728x90	1183	165	0	0	0.10	2011-08-24	2011-04-01	145
799469	160x600	1183	167	0	0	0.03	2011-03-07	2011-03-04	3
795600	728x90	87	167	0	0	0.01	2011-04-22	2011-03-11	42
797385	728x90	1183	168	0	0	0.04	2011-09-21	2011-03-09	196
761110	728x90	242	168	0	0	0.03	2011-03-03	2011-03-01	2
784163	728x90	83	170	0	0	0.01	2011-03-31	2011-03-17	14
802240	728x90	87	170	0	0	0.07	2011-08-18	2011-07-13	36
799521	728x90	1236	170	1	0	0.22	2012-02-05	2011-07-13	207
796904	728x90	79	171	0	0	0.07	2011-08-14	2011-07-13	32
798181	300x250	1183	172	1	0	0.05	2011-03-30	2011-03-01	29
793893	300x250	1235	172	0	0	0.11	2011-07-15	2011-03-09	128
797835	300x250	1183	173	0	0	0.03	2011-03-09	2011-03-03	6
745295	300x250	1	173	0	0	0.02	2011-07-13	2011-03-01	134
796988	728x90	1183	173	0	0	0.05	2011-03-14	2011-03-01	13
788846	300x250	1183	174	0	0	0.04	2011-09-24	2011-03-02	206
797877	728x90	87	175	0	0	0.02	2011-09-15	2011-03-09	190
784163	728x90	78	177	0	0	0.05	2011-04-01	2011-03-18	14
797881	728x90	1183	177	0	0	0.29	2011-03-12	2011-03-11	1
763822	728x90	87	177	3	0	0.09	2011-08-24	2011-07-13	42
786640	728x90	1183	178	0	0	0.01	2011-12-27	2011-03-01	301
761261	300x250	1	179	0	0	0.18	2011-04-22	2011-03-16	37
747317	160x600	1	179	0	0	0.01	2011-04-18	2011-03-09	40
780347	160x600	1183	180	0	0	0.06	2011-07-03	2011-03-10	115
789060	300x250	84	180	0	0	0.03	2011-08-19	2011-03-19	153
780607	300x250	87	181	0	0	0.01	2011-08-23	2011-03-24	152
799127	728x90	87	181	0	0	0.03	2011-11-04	2011-03-01	248
