san	siteid	size	segmentid	n	k	a	cost	max(d.date)	min(d.date)	days	ads
aigebi1amjul11	793657	728x90	1184	12	0	0	0.00	2011-08-16	2011-08-15	1	7
aigebi1amjul11	799480	728x90	87	447	1	0	0.00	2011-09-27	2011-08-21	37	8
aigebi1amjul11	797612	728x90	87	1266	0	0	0.00	2011-08-24	2011-08-01	23	9
aigebi1amjul11	801693	300x250	1183	62	0	0	0.00	2011-09-02	2011-07-15	49	9
aigebi1amjul11	804015	728x90	1183	208	0	0	0.00	2011-08-12	2011-07-14	29	9
aigebi1amjul11	808650	300x250	1183	16	0	0	0.00	2011-08-24	2011-08-24	0	8
aigebi1amjul11	807216	160x600	1183	481	0	0	0.00	2011-09-15	2011-08-10	36	9
aigebi1amjul11	812751	234x60	1183	11	0	0	0.00	2011-09-01	2011-09-01	0	1
aigebi1amjul11	810483	160x600	1183	26	0	0	0.00	2011-09-27	2011-09-13	14	8
aigebi1amjul11	816236	160x600	87	402	0	0	0.00	2011-10-27	2011-10-26	1	3
aigebi1amjul11	772819	160x600	1183	1741	1	0	0.00	2011-09-27	2011-07-26	63	9
aigebi1amjul11	783290	728x90	292	131	0	0	0.00	2011-09-14	2011-07-20	56	9
aigebi1amjul11	787715	468x60	1183	6	0	0	0.00	2011-08-15	2011-07-29	17	1
aigebi1amjul11	718839	728x90	1	17	0	0	0.00	2011-09-06	2011-07-27	41	7
aigebi1amjul11	767903	728x90	1184	1	0	0	0.00	2011-08-16	2011-08-16	0	1
aigebi1amjul11	760320	728x90	1184	12	0	0	0.00	2011-08-16	2011-08-15	1	5
aigebi1amjul11	789776	300x250	292	656	1	0	0.00	2011-09-15	2011-07-14	63	9
aigebi1amjul11	795502	728x90	1183	8	0	0	0.00	2011-07-19	2011-07-19	0	4
aigebi1amjul11	793748	160x600	1183	1	0	0	0.00	2011-10-28	2011-10-28	0	1
aigebi1amjul11	799561	728x90	87	295	0	0	0.00	2011-07-21	2011-07-21	0	8
aigebi1amjul11	797714	300x250	1183	8	0	0	0.00	2011-10-05	2011-09-13	22	5
aigebi1amjul11	801793	120x600	1183	109	0	0	0.00	2011-09-27	2011-08-13	45	1
aigebi1amjul11	799873	300x250	1183	205	0	0	0.00	2011-08-16	2011-07-14	33	9
aigebi1amjul11	804090	728x90	87	605	0	0	0.00	2011-09-27	2011-07-14	75	9
aigebi1amjul11	808725	728x90	1183	744	0	0	0.00	2011-09-12	2011-07-24	50	9
aigebi1amjul11	807325	728x90	1183	31	0	0	0.00	2011-10-26	2011-07-22	96	9
aigebi1amjul11	813044	728x90	1183	45	0	0	0.00	2011-09-27	2011-09-05	22	8
aigebi1amjul11	810601	728x90	1183	1	0	0	0.00	2011-10-20	2011-10-12	8	2
aigebi1amjul11	816347	728x90	1183	1	0	0	0.00	2011-10-25	2011-10-25	0	1
aigebi1amjul11	773013	300x250	1183	347	0	0	0.00	2011-09-26	2011-07-22	66	9
aigebi1amjul11	780595	728x90	87	3329	5	0	0.00	2011-09-27	2011-07-22	67	9
aigebi1amjul11	785853	160x600	87	4132	0	0	0.00	2011-09-27	2011-07-14	75	9
aigebi1amjul11	791904	160x600	87	2700	0	0	0.00	2011-09-26	2011-07-14	74	9
aigebi1amjul11	797837	300x250	1236	3325	0	0	0.00	2011-10-21	2011-08-09	73	9
aigebi1amjul11	801862	728x90	1183	60	0	0	0.00	2011-09-27	2011-08-27	31	8
